interaction_id,user_id,article_id
1,757,1
2,2714,1
3,298,1
4,1980,1
5,2385,1
6,1882,1
7,1503,1
8,1891,1
9,469,1
10,665,1
11,811,1
12,1834,1
13,1332,1
14,744,1
15,2701,1
16,1139,1
17,1347,1
18,1236,1
19,562,1
20,2232,1
21,1355,1
22,52,1
23,2939,1
24,2490,1
25,2207,1
26,2655,1
27,2774,1
28,1021,1
29,1868,1
30,1860,1
31,806,1
32,684,1
33,354,1
34,2014,1
35,2382,1
36,2322,1
37,958,1
38,636,1
39,1369,1
40,1665,1
41,2811,1
42,2674,1
43,2803,1
44,2589,1
45,2940,1
46,1405,1
47,149,1
48,260,1
49,1182,1
50,778,1
51,526,1
52,2908,1
53,605,1
54,2924,1
55,2321,1
56,1955,1
57,2060,1
58,1002,1
59,1974,1
60,579,1
61,2870,1
62,910,1
63,772,1
64,2167,1
65,2007,1
66,1363,1
67,1930,1
68,494,1
69,2052,1
70,812,1
71,820,1
72,504,1
73,1004,1
74,1001,1
75,1371,1
76,590,1
77,595,1
78,1650,1
79,403,1
80,2101,1
81,2881,1
82,1290,1
83,2754,1
84,301,1
85,135,1
86,2200,1
87,2571,1
88,176,1
89,2369,1
90,1149,1
91,917,1
92,535,1
93,3038,1
94,199,1
95,2524,1
96,1952,1
97,2242,1
98,2169,1
99,2616,1
100,568,1
101,4,1
102,1835,1
103,1075,1
104,388,1
105,576,1
106,1003,1
107,218,1
108,944,1
109,2994,1
110,440,1
111,2179,1
112,1837,1
113,2107,1
114,293,1
115,585,1
116,239,1
117,1843,1
118,3008,1
119,2049,1
120,2165,1
121,3002,1
122,2067,1
123,126,1
124,2646,1
125,1110,1
126,16,1
127,1541,1
128,2868,1
129,776,1
130,1488,1
131,537,1
132,179,1
133,250,1
134,2218,1
135,2635,1
136,443,1
137,869,1
138,603,1
139,85,1
140,1687,1
141,2130,1
142,1978,1
143,1175,1
144,1693,1
145,287,1
146,477,1
147,2850,1
148,2323,1
149,2821,1
150,2805,1
151,1984,1
152,2840,1
153,1256,1
154,13,1
155,196,1
156,339,1
157,291,1
158,1069,1
159,2135,1
160,2407,1
161,1807,1
162,451,1
163,2285,1
164,1078,1
165,44,1
166,862,1
167,1019,1
168,842,1
169,2477,2
170,2319,2
171,2120,2
172,429,2
173,2464,2
174,2064,2
175,602,2
176,1979,2
177,1463,2
178,1323,2
179,348,2
180,1576,2
181,307,2
182,511,2
183,415,2
184,2911,2
185,856,2
186,1080,2
187,975,2
188,2746,2
189,1721,2
190,2811,2
191,904,2
192,357,2
193,1698,2
194,1047,2
195,2444,2
196,2690,2
197,1429,2
198,2959,2
199,1686,2
200,812,2
201,1481,2
202,118,2
203,2451,2
204,311,2
205,933,2
206,1728,2
207,135,2
208,246,2
209,2121,2
210,223,2
211,1442,2
212,1026,2
213,706,2
214,586,2
215,2328,2
216,2903,2
217,434,2
218,2925,2
219,1823,2
220,1958,2
221,2162,2
222,2146,2
223,2502,2
224,1622,2
225,981,2
226,325,2
227,2028,2
228,106,2
229,826,2
230,288,2
231,590,2
232,1949,2
233,1920,2
234,1271,2
235,276,2
236,1312,2
237,1070,2
238,2197,2
239,1769,2
240,1488,2
241,1474,2
242,2944,2
243,2308,2
244,1508,2
245,1448,2
246,85,2
247,2880,2
248,968,2
249,775,2
250,3047,2
251,2192,2
252,148,2
253,194,2
254,81,2
255,1837,2
256,2856,2
257,2868,2
258,1662,2
259,1888,2
260,879,2
261,200,2
262,2250,2
263,313,2
264,266,2
265,941,2
266,42,2
267,1314,2
268,2157,2
269,2443,2
270,1844,2
271,2583,2
272,1227,2
273,2585,2
274,1538,2
275,689,2
276,2881,2
277,84,2
278,744,2
279,1116,2
280,1067,2
281,1597,2
282,2702,2
283,881,2
284,1585,2
285,1031,2
286,2509,2
287,487,2
288,318,2
289,1527,2
290,2049,2
291,2422,2
292,1806,2
293,2359,2
294,1189,2
295,103,2
296,362,2
297,123,2
298,998,2
299,1502,2
300,1084,2
301,1714,2
302,1453,2
303,2066,2
304,2035,2
305,964,2
306,1050,2
307,1796,2
308,1834,2
309,954,2
310,998,3
311,2117,3
312,1976,3
313,422,3
314,1329,3
315,2731,3
316,114,3
317,2605,3
318,508,3
319,1541,3
320,1281,3
321,35,3
322,2802,3
323,1373,3
324,2912,3
325,863,3
326,2643,3
327,2820,3
328,1700,3
329,629,3
330,2090,3
331,1672,3
332,2882,3
333,1323,3
334,810,3
335,427,3
336,2128,3
337,2968,3
338,89,3
339,2260,3
340,2836,3
341,232,3
342,341,3
343,2112,3
344,1978,3
345,213,3
346,2547,3
347,1593,3
348,2774,3
349,2685,3
350,2479,3
351,1568,3
352,765,3
353,1536,3
354,310,3
355,2013,3
356,418,3
357,1553,3
358,169,3
359,903,3
360,721,3
361,1898,3
362,2394,3
363,178,3
364,2589,3
365,2625,3
366,1039,3
367,1221,3
368,477,3
369,1611,4
370,268,4
371,2687,4
372,2826,4
373,2508,4
374,1721,4
375,1703,4
376,3002,4
377,755,4
378,236,4
379,1719,4
380,998,4
381,976,4
382,26,4
383,1828,4
384,797,4
385,583,4
386,127,4
387,1108,4
388,2689,4
389,1019,4
390,2071,4
391,2309,4
392,996,4
393,2111,4
394,1709,4
395,5,4
396,110,4
397,3021,4
398,2384,4
399,2870,4
400,2758,4
401,66,4
402,2411,4
403,1363,4
