interaction_id,user_id,article_id
1,757,1
2,2714,1
3,298,1
4,1980,1
5,2385,1
6,1882,1
7,1503,1
8,1891,1
9,469,1
10,665,1
11,811,1
12,1834,1
13,1332,1
14,744,1
15,2701,1
16,1139,1
17,1347,1
18,1236,1
19,562,1
20,2232,1
21,1355,1
22,52,1
23,2939,1
24,2490,1
25,2207,1
26,2655,1
27,2774,1
28,1021,1
29,1868,1
30,1860,1
31,806,1
32,354,1
33,2382,1
34,2322,1
35,958,1
36,636,1
37,1369,1
38,1665,1
39,2674,1
40,2803,1
41,2589,1
42,2940,1
43,1405,1
44,149,1
45,260,1
46,1182,1
47,778,1
48,526,1
49,2908,1
50,605,1
51,2924,1
52,1955,1
53,2060,1
54,1002,1
55,1974,1
56,579,1
57,2870,1
58,910,1
59,772,1
60,2167,1
61,2007,1
62,1363,1
63,494,1
64,2052,1
65,812,1
66,820,1
67,504,1
68,1004,1
69,1001,1
70,1371,1
71,590,1
72,595,1
73,1650,1
74,403,1
75,2101,1
76,2881,1
77,1290,1
78,2754,1
79,301,1
80,135,1
81,2200,1
82,2571,1
83,176,1
84,2369,1
85,1149,1
86,917,1
87,535,1
88,3038,1
89,199,1
90,2524,1
91,1952,1
92,2242,1
93,2169,1
94,2616,1
95,568,1
96,4,1
97,1075,1
98,388,1
99,576,1
100,1003,1
101,2994,1
102,2179,1
103,1837,1
104,2107,1
105,585,1
106,239,1
107,1843,1
108,3008,1
109,2049,1
110,2165,1
111,3002,1
112,2067,1
113,126,1
114,2646,1
115,1110,1
116,16,1
117,1541,1
118,2868,1
119,776,1
120,1488,1
121,537,1
122,179,1
123,250,1
124,2218,1
125,2635,1
126,443,1
127,869,1
128,603,1
129,85,1
130,1687,1
131,2130,1
132,1978,1
133,1175,1
134,1693,1
135,287,1
136,477,1
137,2850,1
138,2323,1
139,2805,1
140,1984,1
141,1256,1
142,13,1
143,196,1
144,339,1
145,291,1
146,1069,1
147,2407,1
148,1807,1
149,451,1
150,2285,1
151,1078,1
152,44,1
153,1019,1
154,842,1
155,2477,2
156,2319,2
157,2120,2
158,429,2
159,2464,2
160,2064,2
161,602,2
162,1979,2
163,1463,2
164,1323,2
165,348,2
166,1576,2
167,307,2
168,511,2
169,2911,2
170,856,2
171,1080,2
172,975,2
173,2746,2
174,1721,2
175,2811,2
176,904,2
177,357,2
178,1698,2
179,2444,2
180,2690,2
181,1429,2
182,2959,2
183,1686,2
184,812,2
185,118,2
186,2451,2
187,311,2
188,933,2
189,1728,2
190,135,2
191,246,2
192,2121,2
193,223,2
194,1442,2
195,1026,2
196,706,2
197,586,2
198,2328,2
199,2903,2
200,434,2
201,2925,2
202,1823,2
203,1958,2
204,2162,2
205,2146,2
206,2502,2
207,1622,2
208,981,2
209,325,2
210,2028,2
211,826,2
212,1949,2
213,1920,2
214,1271,2
215,276,2
216,1312,2
217,1070,2
218,2197,2
219,1769,2
220,1474,2
221,2944,2
222,2308,2
223,1508,2
224,1448,2
225,85,2
226,2880,2
227,968,2
228,775,2
229,3047,2
230,2192,2
231,148,2
232,194,2
233,81,2
234,1837,2
235,2856,2
236,2868,2
237,1662,2
238,1888,2
239,879,2
240,200,2
241,266,2
242,941,2
243,42,2
244,1314,2
245,2157,2
246,2443,2
247,1844,2
248,2583,2
249,1227,2
250,1538,2
251,689,2
252,2881,2
253,84,2
254,744,2
255,1116,2
256,1067,2
257,1597,2
258,2702,2
259,881,2
260,1585,2
261,1031,2
262,2509,2
263,487,2
264,318,2
265,1527,2
266,2422,2
267,1806,2
268,2359,2
269,1189,2
270,103,2
271,362,2
272,998,2
273,1502,2
274,1084,2
275,1453,2
276,2035,2
277,964,2
278,1050,2
279,1796,2
280,1834,2
281,954,2
282,998,3
283,1976,3
284,2731,3
285,114,3
286,1281,3
287,35,3
288,2912,3
289,863,3
290,2643,3
291,1700,3
292,2090,3
293,1672,3
294,2882,3
295,1323,3
296,2128,3
297,2260,3
298,341,3
299,1978,3
300,213,3
301,2547,3
302,1593,3
303,2774,3
304,2685,3
305,2013,3
306,169,3
307,903,3
308,721,3
309,178,3
310,2589,3
311,2625,3
312,1039,3
313,1221,3
314,477,3
315,1611,4
316,1703,4
317,3002,4
318,998,4
319,26,4
320,127,4
321,1108,4
322,2689,4
323,2309,4
324,996,4
325,3021,4
326,66,4
327,1363,4
328,24,4
329,869,4
330,2416,4
331,1897,4
332,2946,4
333,1323,4
334,1350,4
335,1684,4
336,2559,5
337,1721,5
338,2130,5
339,2062,5
340,647,5
341,1801,5
342,9,5
343,2607,5
344,1865,5
345,2492,5
346,2187,5
347,2314,5
348,1187,5
349,2602,5
350,2191,5
351,1732,5
352,1506,5
353,2079,5
354,835,5
355,2923,5
356,3012,5
357,2958,5
358,2305,5
359,1862,5
360,1654,5
361,2335,5
362,1586,5
363,2651,5
364,339,5
365,1158,5
366,1309,5
367,337,5
368,474,5
369,2557,5
370,52,5
371,1432,5
372,2422,5
373,707,5
374,1813,5
375,477,5
376,917,5
377,2719,5
378,1657,5
379,2712,5
380,696,5
381,998,5
382,1425,5
383,1451,5
384,3040,5
385,2595,5
386,2634,5
387,1687,5
388,1045,5
389,1580,5
390,881,5
391,2434,5
392,2832,5
393,1903,5
394,1530,5
395,2765,5
396,570,5
397,2478,6
398,2324,6
399,976,6
400,2503,6
401,2336,6
402,2204,6
